ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
GO:0045321,leukocyte activation,270,-0.7106698968839181,-1.4702115186621092,2.25283747106364e-6,0.006706697151356456,0.006215460012271369,343,tags=25% list=10% signal=24%,Zmiz1/Pkn1/Inpp5d/Dock8/Lyn/Prkcd/Hes1/Tbc1d10c/Runx1/Kmt2e/Prkcb/Selplg/Prkcq/Zfp608/Ptpn22/Lcp2/Tspan32/Bcr/Ifngr2/Mzb1/Themis2/Sdc4/Xrcc6/Dpp4/Dock10/Egr1/Cd37/Il7r/Sox4/Rag2/Cd79b/Rac2/Cdkn1a/Slamf6/Hdac7/Blnk/Syk/Itpkb/Lef1/Myb/Lgals9/Cd1d1/Gimap1/Cd19/Pik3cd/Rag1/Tcf3/Tnfaip3/Lig4/Siglecg/Ly6d/Cd79a/Spib/Wdfy4/Impdh1/Il16/Gpam/Slamf7/Ccnd3/Bst1/Cdkn2a/Igll1/Cplx2/Vpreb1/Tmem98/Thy1/Blk
GO:0001775,cell activation,291,-0.6974940922868065,-1.4442089788222399,9.934192599015897e-6,0.014271313648652235,0.013226000414800316,343,tags=24% list=10% signal=24%,Zmiz1/Pkn1/Inpp5d/Dock8/Pip5k1c/Lyn/Prkcd/Hes1/Tbc1d10c/Runx1/Kmt2e/Prkcb/Selplg/Prkcq/Zfp608/Ptpn22/Lcp2/Tspan32/Bcr/Ifngr2/Mzb1/Themis2/Sdc4/Xrcc6/Dpp4/Dock10/Egr1/Cd37/Il7r/Sox4/Rag2/Cd79b/Rac2/Cdkn1a/Slamf6/Hdac7/Mmrn1/Blnk/Syk/Itpkb/Lef1/Myb/Lgals9/Cd1d1/Gimap1/Il17ra/Cd19/Pik3cd/Rag1/Tcf3/Tnfaip3/Lig4/Siglecg/Ly6d/Cd79a/Spib/Wdfy4/Impdh1/Il16/Gpam/Slamf7/Ccnd3/Bst1/Cdkn2a/Igll1/Cplx2/Vpreb1/Tmem98/Thy1/Blk
